Research Title,Review Type
Randomized Controlled Trial: A Efficacy of New Drug Prisoners,Full
Curriculum Evaluation: A Secondary Data Study on Public Records,Exempt
Clinical Trial of Minors with Trauma using Longitudinal Physiological Monitoring,Full
Standardized Testing: A Focus Group on Healthy Adults,Expedited
De-identified Data Analysis of Publicly Available Social Media using Data Mining,Exempt
Public Observation of Publicly Available Social Media using Data Mining,Exempt
High-Risk Intervention in Prisoners,Full
Retrospective Review of Standard Educational Practices,Exempt
De-identified Data Analysis of Publicly Available Social Media,Exempt
Longitudinal Physiological Monitoring: A Invasive Surgery for Patients with Stage IV Cancer,Full
Invasive Surgery for Minors with Trauma,Full
Secondary Data Study on Standard Educational Practices,Exempt
Efficacy of New Drug Minors with Trauma,Full
Psychological Stress and Emergency Room Patients,Full
Standardized Testing: A Focus Group on Office Workers,Expedited
Behavioral Observation of Nursing Staff using Video Recording Analysis,Expedited
Secondary Data Study on Anonymized Medical Records,Exempt
Video Recording Analysis: A Survey of University Students,Expedited
Retrospective Review of Publicly Available Social Media,Exempt
Strength Testing: A Behavioral Observation of Nursing Staff,Expedited
De-identified Data Analysis of Publicly Available Social Media,Exempt
Efficacy of New Drug Emergency Room Patients using Longitudinal Physiological Monitoring,Full
High-Risk Intervention in Minors with Trauma using Randomized Controlled Trial,Full
High-Risk Intervention in Minors with Trauma using Randomized Controlled Trial,Full
Invasive Surgery for Patients with Stage IV Cancer using Randomized Controlled Trial,Full
Historical Archive Review: A Public Observation of Anonymized Medical Records,Exempt
Video Recording Analysis: A Educational Impact of University Students,Expedited
Clinical Trial of Prisoners using Randomized Controlled Trial,Full
Retrospective Review of Public Records using Data Mining,Exempt
Randomized Controlled Trial: A Efficacy of New Drug Emergency Room Patients,Full
Survey of Healthy Adults using Standardized Testing,Expedited
Historical Archive Review: A Retrospective Review of Standard Educational Practices,Exempt
Secondary Data Study on Anonymized Medical Records,Exempt
Efficacy of New Drug Patients with Stage IV Cancer using Randomized Controlled Trial,Full
Longitudinal Physiological Monitoring: A High-Risk Intervention in Emergency Room Patients,Full
Survey of Nursing Staff,Expedited
Efficacy of New Drug Emergency Room Patients using Double-Blind Study,Full
Clinical Trial of Emergency Room Patients using Double-Blind Study,Full
Clinical Trial of Patients with Stage IV Cancer using Double-Blind Study,Full
Public Observation of Public Records,Exempt
Standardized Testing: A Behavioral Observation of University Students,Expedited
High-Risk Intervention in Minors with Trauma using Randomized Controlled Trial,Full
Invasive Surgery for Emergency Room Patients using Double-Blind Study,Full
De-identified Data Analysis of Publicly Available Social Media using Historical Archive Review,Exempt
Historical Archive Review: A Secondary Data Study on Public Records,Exempt
Historical Archive Review: A Secondary Data Study on Standard Educational Practices,Exempt
Non-Invasive Collection: A Focus Group on Office Workers,Expedited
Data Mining: A Public Observation of Anonymized Medical Records,Exempt
Non-Invasive Collection: A Educational Impact of Nursing Staff,Expedited
Clinical Trial of Patients with Stage IV Cancer using Longitudinal Physiological Monitoring,Full
Invasive Surgery for Patients with Stage IV Cancer using Randomized Controlled Trial,Full
Clinical Trial of Patients with Stage IV Cancer using Longitudinal Physiological Monitoring,Full
Clinical Trial of Minors with Trauma using Randomized Controlled Trial,Full
Retrospective Review of Public Records,Exempt
Strength Testing: A Survey of Healthy Adults,Expedited
Public Observation of Anonymized Medical Records using Data Mining,Exempt
Secondary Data Study on Public Records using Historical Archive Review,Exempt
Curriculum Evaluation: A Public Observation of Publicly Available Social Media,Exempt
Psychological Stress and Emergency Room Patients using Randomized Controlled Trial,Full
De-identified Data Analysis of Anonymized Medical Records using Data Mining,Exempt
Educational Impact of Healthy Adults,Expedited
Historical Archive Review: A Retrospective Review of Public Records,Exempt
Data Mining: A Secondary Data Study on Publicly Available Social Media,Exempt
Secondary Data Study on Standard Educational Practices using Historical Archive Review,Exempt
Behavioral Observation of Office Workers,Expedited
Longitudinal Physiological Monitoring: A Efficacy of New Drug Minors with Trauma,Full
Strength Testing: A Survey of University Students,Expedited
Non-Invasive Collection: A Behavioral Observation of Office Workers,Expedited
Double-Blind Study: A Clinical Trial of Patients with Stage IV Cancer,Full
Curriculum Evaluation: A Public Observation of Public Records,Exempt
Retrospective Review of Public Records using Curriculum Evaluation,Exempt
Public Observation of Anonymized Medical Records,Exempt
De-identified Data Analysis of Publicly Available Social Media,Exempt
Strength Testing: A Survey of Office Workers,Expedited
Behavioral Observation of Office Workers using Standardized Testing,Expedited
Data Mining: A Secondary Data Study on Standard Educational Practices,Exempt
Educational Impact of Healthy Adults using Standardized Testing,Expedited
Educational Impact of Office Workers using Video Recording Analysis,Expedited
Educational Impact of University Students,Expedited
Invasive Surgery for Patients with Stage IV Cancer,Full
Data Mining: A Secondary Data Study on Publicly Available Social Media,Exempt
Retrospective Review of Anonymized Medical Records,Exempt
Video Recording Analysis: A Focus Group on Office Workers,Expedited
Efficacy of New Drug Prisoners using Randomized Controlled Trial,Full
Retrospective Review of Standard Educational Practices using Curriculum Evaluation,Exempt
Double-Blind Study: A High-Risk Intervention in Prisoners,Full
Public Observation of Anonymized Medical Records,Exempt
Retrospective Review of Publicly Available Social Media,Exempt
Invasive Surgery for Emergency Room Patients,Full
Randomized Controlled Trial: A Efficacy of New Drug Minors with Trauma,Full
Retrospective Review of Anonymized Medical Records,Exempt
Secondary Data Study on Standard Educational Practices,Exempt
Invasive Surgery for Emergency Room Patients using Longitudinal Physiological Monitoring,Full
Analysis of University Students,Expedited
Analysis of University Students using Non-Invasive Collection,Expedited
De-identified Data Analysis of Public Records using Historical Archive Review,Exempt
High-Risk Intervention in Minors with Trauma using Double-Blind Study,Full
Historical Archive Review: A Secondary Data Study on Anonymized Medical Records,Exempt
Retrospective Review of Anonymized Medical Records using Data Mining,Exempt
Behavioral Observation of Healthy Adults using Video Recording Analysis,Expedited
Secondary Data Study on Standard Educational Practices using Data Mining,Exempt
Public Observation of Anonymized Medical Records using Curriculum Evaluation,Exempt
Survey of Nursing Staff using Strength Testing,Expedited
Educational Impact of University Students using Non-Invasive Collection,Expedited
Secondary Data Study on Anonymized Medical Records,Exempt
Randomized Controlled Trial: A High-Risk Intervention in Emergency Room Patients,Full
Longitudinal Physiological Monitoring: A Psychological Stress and Minors with Trauma,Full
Public Observation of Public Records using Curriculum Evaluation,Exempt
Analysis of Nursing Staff,Expedited
Strength Testing: A Focus Group on Nursing Staff,Expedited
Focus Group on Nursing Staff using Strength Testing,Expedited
Data Mining: A Public Observation of Public Records,Exempt
Randomized Controlled Trial: A Efficacy of New Drug Patients with Stage IV Cancer,Full
Strength Testing: A Educational Impact of Healthy Adults,Expedited
Longitudinal Physiological Monitoring: A Clinical Trial of Minors with Trauma,Full
Data Mining: A Public Observation of Anonymized Medical Records,Exempt
Randomized Controlled Trial: A Efficacy of New Drug Patients with Stage IV Cancer,Full
Behavioral Observation of Office Workers,Expedited
Psychological Stress and Minors with Trauma,Full
Efficacy of New Drug Emergency Room Patients using Double-Blind Study,Full
Historical Archive Review: A De-identified Data Analysis of Standard Educational Practices,Exempt
Behavioral Observation of Nursing Staff,Expedited
Retrospective Review of Public Records using Historical Archive Review,Exempt
Double-Blind Study: A Invasive Surgery for Emergency Room Patients,Full
Efficacy of New Drug Prisoners,Full
Survey of Healthy Adults,Expedited
Analysis of Nursing Staff using Video Recording Analysis,Expedited
Focus Group on Nursing Staff,Expedited
Retrospective Review of Standard Educational Practices,Exempt
Secondary Data Study on Publicly Available Social Media using Curriculum Evaluation,Exempt
Invasive Surgery for Emergency Room Patients,Full
De-identified Data Analysis of Public Records,Exempt
Strength Testing: A Survey of Nursing Staff,Expedited
Strength Testing: A Focus Group on Healthy Adults,Expedited
Behavioral Observation of Nursing Staff,Expedited
Public Observation of Public Records,Exempt
Data Mining: A Secondary Data Study on Public Records,Exempt
Retrospective Review of Anonymized Medical Records using Curriculum Evaluation,Exempt
Public Observation of Public Records,Exempt
High-Risk Intervention in Prisoners,Full
Standardized Testing: A Educational Impact of Healthy Adults,Expedited
Analysis of Nursing Staff,Expedited
Invasive Surgery for Emergency Room Patients,Full
Psychological Stress and Minors with Trauma using Randomized Controlled Trial,Full
Strength Testing: A Focus Group on Healthy Adults,Expedited
Historical Archive Review: A Public Observation of Standard Educational Practices,Exempt
Data Mining: A Public Observation of Standard Educational Practices,Exempt
Psychological Stress and Emergency Room Patients using Randomized Controlled Trial,Full
Non-Invasive Collection: A Behavioral Observation of Healthy Adults,Expedited
Randomized Controlled Trial: A Psychological Stress and Patients with Stage IV Cancer,Full
Behavioral Observation of Office Workers using Strength Testing,Expedited
De-identified Data Analysis of Public Records,Exempt
De-identified Data Analysis of Publicly Available Social Media using Data Mining,Exempt
Data Mining: A De-identified Data Analysis of Anonymized Medical Records,Exempt
Randomized Controlled Trial: A Efficacy of New Drug Minors with Trauma,Full
Invasive Surgery for Emergency Room Patients using Randomized Controlled Trial,Full
De-identified Data Analysis of Publicly Available Social Media using Curriculum Evaluation,Exempt
Analysis of Healthy Adults using Strength Testing,Expedited
Retrospective Review of Public Records using Data Mining,Exempt
High-Risk Intervention in Minors with Trauma,Full
Public Observation of Publicly Available Social Media using Curriculum Evaluation,Exempt
Secondary Data Study on Publicly Available Social Media using Historical Archive Review,Exempt
De-identified Data Analysis of Anonymized Medical Records using Data Mining,Exempt
Data Mining: A Public Observation of Standard Educational Practices,Exempt
Retrospective Review of Standard Educational Practices,Exempt
Historical Archive Review: A Secondary Data Study on Standard Educational Practices,Exempt
High-Risk Intervention in Emergency Room Patients,Full
Data Mining: A De-identified Data Analysis of Anonymized Medical Records,Exempt
Focus Group on Healthy Adults,Expedited
Focus Group on Nursing Staff using Standardized Testing,Expedited
Efficacy of New Drug Prisoners,Full
Strength Testing: A Behavioral Observation of Office Workers,Expedited
Focus Group on Healthy Adults using Non-Invasive Collection,Expedited
Secondary Data Study on Standard Educational Practices using Curriculum Evaluation,Exempt
Double-Blind Study: A Efficacy of New Drug Prisoners,Full
Historical Archive Review: A De-identified Data Analysis of Public Records,Exempt
Public Observation of Anonymized Medical Records,Exempt
Data Mining: A Secondary Data Study on Publicly Available Social Media,Exempt
Survey of University Students using Strength Testing,Expedited
Educational Impact of Healthy Adults using Video Recording Analysis,Expedited
Educational Impact of Office Workers,Expedited
Analysis of University Students using Strength Testing,Expedited
Focus Group on Healthy Adults,Expedited
Analysis of Healthy Adults using Video Recording Analysis,Expedited
Non-Invasive Collection: A Analysis of Healthy Adults,Expedited
Secondary Data Study on Publicly Available Social Media,Exempt
High-Risk Intervention in Emergency Room Patients using Double-Blind Study,Full
Behavioral Observation of Healthy Adults using Strength Testing,Expedited
High-Risk Intervention in Prisoners,Full
Randomized Controlled Trial: A Psychological Stress and Prisoners,Full
Behavioral Observation of Nursing Staff using Video Recording Analysis,Expedited
Secondary Data Study on Public Records using Curriculum Evaluation,Exempt
Behavioral Observation of University Students using Non-Invasive Collection,Expedited
Educational Impact of Healthy Adults using Strength Testing,Expedited
Focus Group on Healthy Adults using Video Recording Analysis,Expedited
Clinical Trial of Minors with Trauma using Longitudinal Physiological Monitoring,Full
Non-Invasive Collection: A Survey of University Students,Expedited
De-identified Data Analysis of Anonymized Medical Records using Curriculum Evaluation,Exempt
Randomized Controlled Trial: A Efficacy of New Drug Patients with Stage IV Cancer,Full
Retrospective Review of Anonymized Medical Records,Exempt
High-Risk Intervention in Minors with Trauma,Full
Secondary Data Study on Publicly Available Social Media using Curriculum Evaluation,Exempt
Retrospective Review of Standard Educational Practices using Historical Archive Review,Exempt
Standardized Testing: A Survey of Healthy Adults,Expedited
Public Observation of Standard Educational Practices using Historical Archive Review,Exempt
Video Recording Analysis: A Educational Impact of Nursing Staff,Expedited
Focus Group on Healthy Adults,Expedited
Secondary Data Study on Anonymized Medical Records using Data Mining,Exempt
Invasive Surgery for Emergency Room Patients using Double-Blind Study,Full
Focus Group on University Students using Non-Invasive Collection,Expedited
Non-Invasive Collection: A Survey of Nursing Staff,Expedited
Public Observation of Public Records,Exempt
Analysis of Nursing Staff using Strength Testing,Expedited
Analysis of Healthy Adults,Expedited
Double-Blind Study: A Clinical Trial of Prisoners,Full
Retrospective Review of Anonymized Medical Records,Exempt
Historical Archive Review: A Retrospective Review of Public Records,Exempt
Secondary Data Study on Publicly Available Social Media,Exempt
Standardized Testing: A Analysis of University Students,Expedited
Longitudinal Physiological Monitoring: A High-Risk Intervention in Emergency Room Patients,Full
Retrospective Review of Anonymized Medical Records,Exempt
Survey of University Students using Video Recording Analysis,Expedited
Clinical Trial of Minors with Trauma using Randomized Controlled Trial,Full
Historical Archive Review: A Secondary Data Study on Anonymized Medical Records,Exempt
Secondary Data Study on Publicly Available Social Media,Exempt
Efficacy of New Drug Minors with Trauma,Full
Efficacy of New Drug Minors with Trauma,Full
Randomized Controlled Trial: A Clinical Trial of Prisoners,Full
Standardized Testing: A Survey of Healthy Adults,Expedited
Randomized Controlled Trial: A High-Risk Intervention in Emergency Room Patients,Full
Secondary Data Study on Public Records,Exempt
Public Observation of Standard Educational Practices using Historical Archive Review,Exempt
Double-Blind Study: A High-Risk Intervention in Prisoners,Full
De-identified Data Analysis of Publicly Available Social Media,Exempt
Clinical Trial of Patients with Stage IV Cancer,Full
Educational Impact of Nursing Staff,Expedited
Efficacy of New Drug Prisoners using Randomized Controlled Trial,Full
