text,label
Study on the psychological impact of past trauma in children under 10. Participants will be asked to... 75 subjects involved.,Full Board
Study on the psychological impact of past trauma in children under 10. Data will be collected via... 46 subjects involved.,Full Board
Research involving interviews with incarcerated individuals about prison conditions. Data will be collected via... 302 subjects involved.,Full Board
Evaluation of a new math curriculum in a standard 4th-grade classroom environment. This study aims to... 464 subjects involved.,Exempt
Research on individual or group behavior using recorded voice or video data. Participants will be asked to... 434 subjects involved.,Expedited
Evaluation of a new math curriculum in a standard 4th-grade classroom environment. Participants will be asked to... 145 subjects involved.,Exempt
Study using non-invasive heart rate monitors during light treadmill exercise. This study aims to... 244 subjects involved.,Expedited
Research involving intentional deception of participants regarding physical safety. Participants will be asked to... 245 subjects involved.,Full Board
Observation of public behavior in a city park without any identifiers recorded. Data will be collected via... 61 subjects involved.,Exempt
Anonymous survey regarding workplace satisfaction among corporate employees. The primary objective is... 232 subjects involved.,Exempt
Research involving intentional deception of participants regarding physical safety. This study aims to... 221 subjects involved.,Full Board
Analysis of existing public datasets regarding census information. Participants will be asked to... 251 subjects involved.,Exempt
Observation of public behavior in a city park without any identifiers recorded. This study aims to... 209 subjects involved.,Exempt
Surveying active drug users about illegal activities with identifiable data collection. This study aims to... 225 subjects involved.,Full Board
Research on individual or group behavior using recorded voice or video data. Data will be collected via... 245 subjects involved.,Expedited
Evaluating a high-risk surgical procedure for spinal cord injury reconstruction. This study aims to... 244 subjects involved.,Full Board
Research on individual or group behavior using recorded voice or video data. This study aims to... 293 subjects involved.,Expedited
Small blood draw via venipuncture from healthy non-pregnant adults. This study aims to... 64 subjects involved.,Expedited
Analysis of existing public datasets regarding census information. Data will be collected via... 301 subjects involved.,Exempt
Surveying active drug users about illegal activities with identifiable data collection. The primary objective is... 270 subjects involved.,Full Board
Collection of saliva samples from healthy adults to measure cortisol levels. This study aims to... 12 subjects involved.,Expedited
Study using non-invasive heart rate monitors during light treadmill exercise. This study aims to... 475 subjects involved.,Expedited
Observation of public behavior in a city park without any identifiers recorded. Participants will be asked to... 299 subjects involved.,Exempt
Anonymous survey regarding workplace satisfaction among corporate employees. This study aims to... 179 subjects involved.,Exempt
Retrospective review of de-identified medical records for frequency of flu symptoms. The primary objective is... 228 subjects involved.,Exempt
Research involving interviews with incarcerated individuals about prison conditions. Participants will be asked to... 24 subjects involved.,Full Board
Secondary analysis of anonymized blood pressure data from a 2010 study. Data will be collected via... 231 subjects involved.,Exempt
Observation of public behavior in a city park without any identifiers recorded. Participants will be asked to... 358 subjects involved.,Exempt
Clinical trial testing a new pharmaceutical drug for hypertension in elderly patients. Data will be collected via... 385 subjects involved.,Full Board
Research on individual or group behavior using recorded voice or video data. The primary objective is... 148 subjects involved.,Expedited
Research on individual or group behavior using recorded voice or video data. Participants will be asked to... 419 subjects involved.,Expedited
Small blood draw via venipuncture from healthy non-pregnant adults. Participants will be asked to... 262 subjects involved.,Expedited
Retrospective review of de-identified medical records for frequency of flu symptoms. This study aims to... 367 subjects involved.,Exempt
Analysis of existing public datasets regarding census information. The primary objective is... 62 subjects involved.,Exempt
Surveying active drug users about illegal activities with identifiable data collection. Data will be collected via... 472 subjects involved.,Full Board
Research involving intentional deception of participants regarding physical safety. The primary objective is... 148 subjects involved.,Full Board
Research involving intentional deception of participants regarding physical safety. Participants will be asked to... 400 subjects involved.,Full Board
Interviews with teachers about stress levels where names are linked to responses. Participants will be asked to... 172 subjects involved.,Expedited
Research involving interviews with incarcerated individuals about prison conditions. Data will be collected via... 224 subjects involved.,Full Board
Clinical trial testing a new pharmaceutical drug for hypertension in elderly patients. The primary objective is... 420 subjects involved.,Full Board
Evaluation of a new math curriculum in a standard 4th-grade classroom environment. This study aims to... 26 subjects involved.,Exempt
"Focus groups regarding sensitive personal experiences, but with minimal risk of harm. Participants will be asked to... 111 subjects involved.",Expedited
Study using non-invasive heart rate monitors during light treadmill exercise. This study aims to... 288 subjects involved.,Expedited
Retrospective review of de-identified medical records for frequency of flu symptoms. The primary objective is... 165 subjects involved.,Exempt
Surveying active drug users about illegal activities with identifiable data collection. This study aims to... 282 subjects involved.,Full Board
Interviews with teachers about stress levels where names are linked to responses. This study aims to... 143 subjects involved.,Expedited
Secondary analysis of anonymized blood pressure data from a 2010 study. Participants will be asked to... 87 subjects involved.,Exempt
Evaluation of a new math curriculum in a standard 4th-grade classroom environment. The primary objective is... 297 subjects involved.,Exempt
Observation of public behavior in a city park without any identifiers recorded. The primary objective is... 296 subjects involved.,Exempt
Research involving interviews with incarcerated individuals about prison conditions. Data will be collected via... 163 subjects involved.,Full Board
Evaluating a high-risk surgical procedure for spinal cord injury reconstruction. This study aims to... 476 subjects involved.,Full Board
Evaluation of a new math curriculum in a standard 4th-grade classroom environment. The primary objective is... 80 subjects involved.,Exempt
Study using non-invasive heart rate monitors during light treadmill exercise. The primary objective is... 235 subjects involved.,Expedited
Collection of saliva samples from healthy adults to measure cortisol levels. The primary objective is... 495 subjects involved.,Expedited
Research involving intentional deception of participants regarding physical safety. Data will be collected via... 57 subjects involved.,Full Board
Research on individual or group behavior using recorded voice or video data. Participants will be asked to... 399 subjects involved.,Expedited
Study on the psychological impact of past trauma in children under 10. Participants will be asked to... 263 subjects involved.,Full Board
Retrospective review of de-identified medical records for frequency of flu symptoms. This study aims to... 349 subjects involved.,Exempt
Retrospective review of de-identified medical records for frequency of flu symptoms. Data will be collected via... 39 subjects involved.,Exempt
Secondary analysis of anonymized blood pressure data from a 2010 study. Participants will be asked to... 350 subjects involved.,Exempt
Study on the psychological impact of past trauma in children under 10. Participants will be asked to... 99 subjects involved.,Full Board
Collection of saliva samples from healthy adults to measure cortisol levels. The primary objective is... 143 subjects involved.,Expedited
Clinical trial testing a new pharmaceutical drug for hypertension in elderly patients. Data will be collected via... 246 subjects involved.,Full Board
Clinical trial testing a new pharmaceutical drug for hypertension in elderly patients. Data will be collected via... 446 subjects involved.,Full Board
Secondary analysis of anonymized blood pressure data from a 2010 study. Data will be collected via... 98 subjects involved.,Exempt
Evaluating a high-risk surgical procedure for spinal cord injury reconstruction. Participants will be asked to... 166 subjects involved.,Full Board
Interviews with teachers about stress levels where names are linked to responses. Participants will be asked to... 314 subjects involved.,Expedited
Research involving intentional deception of participants regarding physical safety. The primary objective is... 394 subjects involved.,Full Board
Retrospective review of de-identified medical records for frequency of flu symptoms. This study aims to... 449 subjects involved.,Exempt
Research involving intentional deception of participants regarding physical safety. Data will be collected via... 215 subjects involved.,Full Board
Evaluating a high-risk surgical procedure for spinal cord injury reconstruction. Data will be collected via... 35 subjects involved.,Full Board
Surveying active drug users about illegal activities with identifiable data collection. This study aims to... 20 subjects involved.,Full Board
Clinical trial testing a new pharmaceutical drug for hypertension in elderly patients. Participants will be asked to... 402 subjects involved.,Full Board
"Focus groups regarding sensitive personal experiences, but with minimal risk of harm. The primary objective is... 469 subjects involved.",Expedited
Evaluation of a new math curriculum in a standard 4th-grade classroom environment. Participants will be asked to... 195 subjects involved.,Exempt
Evaluating a high-risk surgical procedure for spinal cord injury reconstruction. The primary objective is... 270 subjects involved.,Full Board
Surveying active drug users about illegal activities with identifiable data collection. Participants will be asked to... 89 subjects involved.,Full Board
Interviews with teachers about stress levels where names are linked to responses. This study aims to... 209 subjects involved.,Expedited
Surveying active drug users about illegal activities with identifiable data collection. This study aims to... 301 subjects involved.,Full Board
Retrospective review of de-identified medical records for frequency of flu symptoms. The primary objective is... 274 subjects involved.,Exempt
Evaluation of a new math curriculum in a standard 4th-grade classroom environment. The primary objective is... 427 subjects involved.,Exempt
Surveying active drug users about illegal activities with identifiable data collection. This study aims to... 137 subjects involved.,Full Board
Anonymous survey regarding workplace satisfaction among corporate employees. The primary objective is... 248 subjects involved.,Exempt
Anonymous survey regarding workplace satisfaction among corporate employees. Data will be collected via... 196 subjects involved.,Exempt
Retrospective review of de-identified medical records for frequency of flu symptoms. Data will be collected via... 296 subjects involved.,Exempt
"Focus groups regarding sensitive personal experiences, but with minimal risk of harm. This study aims to... 72 subjects involved.",Expedited
Observation of public behavior in a city park without any identifiers recorded. Participants will be asked to... 483 subjects involved.,Exempt
Anonymous survey regarding workplace satisfaction among corporate employees. This study aims to... 476 subjects involved.,Exempt
Analysis of existing public datasets regarding census information. Participants will be asked to... 298 subjects involved.,Exempt
Study on the psychological impact of past trauma in children under 10. Participants will be asked to... 337 subjects involved.,Full Board
Anonymous survey regarding workplace satisfaction among corporate employees. Participants will be asked to... 464 subjects involved.,Exempt
Analysis of existing public datasets regarding census information. Participants will be asked to... 227 subjects involved.,Exempt
Small blood draw via venipuncture from healthy non-pregnant adults. The primary objective is... 161 subjects involved.,Expedited
Research involving intentional deception of participants regarding physical safety. Data will be collected via... 473 subjects involved.,Full Board
Evaluating a high-risk surgical procedure for spinal cord injury reconstruction. The primary objective is... 500 subjects involved.,Full Board
Study on the psychological impact of past trauma in children under 10. Participants will be asked to... 229 subjects involved.,Full Board
Evaluation of a new math curriculum in a standard 4th-grade classroom environment. The primary objective is... 22 subjects involved.,Exempt
Small blood draw via venipuncture from healthy non-pregnant adults. The primary objective is... 232 subjects involved.,Expedited
Study on the psychological impact of past trauma in children under 10. This study aims to... 43 subjects involved.,Full Board
Research on individual or group behavior using recorded voice or video data. The primary objective is... 417 subjects involved.,Expedited
Surveying active drug users about illegal activities with identifiable data collection. This study aims to... 135 subjects involved.,Full Board
Retrospective review of de-identified medical records for frequency of flu symptoms. Data will be collected via... 450 subjects involved.,Exempt
Clinical trial testing a new pharmaceutical drug for hypertension in elderly patients. Participants will be asked to... 277 subjects involved.,Full Board
Evaluating a high-risk surgical procedure for spinal cord injury reconstruction. Data will be collected via... 276 subjects involved.,Full Board
Evaluating a high-risk surgical procedure for spinal cord injury reconstruction. Data will be collected via... 422 subjects involved.,Full Board
Surveying active drug users about illegal activities with identifiable data collection. Participants will be asked to... 326 subjects involved.,Full Board
Study using non-invasive heart rate monitors during light treadmill exercise. Data will be collected via... 153 subjects involved.,Expedited
Study using non-invasive heart rate monitors during light treadmill exercise. The primary objective is... 309 subjects involved.,Expedited
Research involving intentional deception of participants regarding physical safety. This study aims to... 182 subjects involved.,Full Board
Study using non-invasive heart rate monitors during light treadmill exercise. Data will be collected via... 498 subjects involved.,Expedited
Anonymous survey regarding workplace satisfaction among corporate employees. Data will be collected via... 304 subjects involved.,Exempt
Surveying active drug users about illegal activities with identifiable data collection. This study aims to... 481 subjects involved.,Full Board
Evaluating a high-risk surgical procedure for spinal cord injury reconstruction. The primary objective is... 117 subjects involved.,Full Board
Secondary analysis of anonymized blood pressure data from a 2010 study. Participants will be asked to... 448 subjects involved.,Exempt
Evaluating a high-risk surgical procedure for spinal cord injury reconstruction. This study aims to... 193 subjects involved.,Full Board
Surveying active drug users about illegal activities with identifiable data collection. This study aims to... 64 subjects involved.,Full Board
Collection of saliva samples from healthy adults to measure cortisol levels. Data will be collected via... 497 subjects involved.,Expedited
Evaluating a high-risk surgical procedure for spinal cord injury reconstruction. This study aims to... 124 subjects involved.,Full Board
Secondary analysis of anonymized blood pressure data from a 2010 study. Data will be collected via... 38 subjects involved.,Exempt
Clinical trial testing a new pharmaceutical drug for hypertension in elderly patients. This study aims to... 184 subjects involved.,Full Board
Clinical trial testing a new pharmaceutical drug for hypertension in elderly patients. The primary objective is... 112 subjects involved.,Full Board
Study using non-invasive heart rate monitors during light treadmill exercise. The primary objective is... 319 subjects involved.,Expedited
Evaluation of a new math curriculum in a standard 4th-grade classroom environment. This study aims to... 246 subjects involved.,Exempt
Retrospective review of de-identified medical records for frequency of flu symptoms. Participants will be asked to... 409 subjects involved.,Exempt
Study using non-invasive heart rate monitors during light treadmill exercise. This study aims to... 407 subjects involved.,Expedited
Study on the psychological impact of past trauma in children under 10. Data will be collected via... 283 subjects involved.,Full Board
Research involving interviews with incarcerated individuals about prison conditions. This study aims to... 56 subjects involved.,Full Board
Small blood draw via venipuncture from healthy non-pregnant adults. Participants will be asked to... 442 subjects involved.,Expedited
Interviews with teachers about stress levels where names are linked to responses. This study aims to... 377 subjects involved.,Expedited
"Focus groups regarding sensitive personal experiences, but with minimal risk of harm. This study aims to... 351 subjects involved.",Expedited
Anonymous survey regarding workplace satisfaction among corporate employees. Participants will be asked to... 197 subjects involved.,Exempt
Retrospective review of de-identified medical records for frequency of flu symptoms. Participants will be asked to... 217 subjects involved.,Exempt
Anonymous survey regarding workplace satisfaction among corporate employees. The primary objective is... 294 subjects involved.,Exempt
Collection of saliva samples from healthy adults to measure cortisol levels. Participants will be asked to... 416 subjects involved.,Expedited
Research involving intentional deception of participants regarding physical safety. The primary objective is... 87 subjects involved.,Full Board
Study using non-invasive heart rate monitors during light treadmill exercise. The primary objective is... 147 subjects involved.,Expedited
Research involving intentional deception of participants regarding physical safety. Participants will be asked to... 71 subjects involved.,Full Board
Retrospective review of de-identified medical records for frequency of flu symptoms. The primary objective is... 181 subjects involved.,Exempt
"Focus groups regarding sensitive personal experiences, but with minimal risk of harm. This study aims to... 234 subjects involved.",Expedited
Research involving intentional deception of participants regarding physical safety. Data will be collected via... 35 subjects involved.,Full Board
Research involving intentional deception of participants regarding physical safety. This study aims to... 246 subjects involved.,Full Board
Research involving interviews with incarcerated individuals about prison conditions. This study aims to... 468 subjects involved.,Full Board
"Focus groups regarding sensitive personal experiences, but with minimal risk of harm. Participants will be asked to... 395 subjects involved.",Expedited
Research on individual or group behavior using recorded voice or video data. Participants will be asked to... 22 subjects involved.,Expedited
"Focus groups regarding sensitive personal experiences, but with minimal risk of harm. Participants will be asked to... 333 subjects involved.",Expedited
Small blood draw via venipuncture from healthy non-pregnant adults. This study aims to... 328 subjects involved.,Expedited
Evaluation of a new math curriculum in a standard 4th-grade classroom environment. The primary objective is... 99 subjects involved.,Exempt
Evaluating a high-risk surgical procedure for spinal cord injury reconstruction. Participants will be asked to... 292 subjects involved.,Full Board
Clinical trial testing a new pharmaceutical drug for hypertension in elderly patients. Data will be collected via... 176 subjects involved.,Full Board
Anonymous survey regarding workplace satisfaction among corporate employees. Data will be collected via... 365 subjects involved.,Exempt
Research involving intentional deception of participants regarding physical safety. The primary objective is... 309 subjects involved.,Full Board
Secondary analysis of anonymized blood pressure data from a 2010 study. Data will be collected via... 444 subjects involved.,Exempt
Study using non-invasive heart rate monitors during light treadmill exercise. The primary objective is... 64 subjects involved.,Expedited
Interviews with teachers about stress levels where names are linked to responses. Data will be collected via... 381 subjects involved.,Expedited
Surveying active drug users about illegal activities with identifiable data collection. The primary objective is... 177 subjects involved.,Full Board
Clinical trial testing a new pharmaceutical drug for hypertension in elderly patients. The primary objective is... 12 subjects involved.,Full Board
Surveying active drug users about illegal activities with identifiable data collection. The primary objective is... 241 subjects involved.,Full Board
Study using non-invasive heart rate monitors during light treadmill exercise. This study aims to... 176 subjects involved.,Expedited
Small blood draw via venipuncture from healthy non-pregnant adults. Participants will be asked to... 385 subjects involved.,Expedited
Study on the psychological impact of past trauma in children under 10. Data will be collected via... 400 subjects involved.,Full Board
Research involving intentional deception of participants regarding physical safety. Data will be collected via... 263 subjects involved.,Full Board
Analysis of existing public datasets regarding census information. Data will be collected via... 349 subjects involved.,Exempt
Collection of saliva samples from healthy adults to measure cortisol levels. The primary objective is... 443 subjects involved.,Expedited
Research on individual or group behavior using recorded voice or video data. Participants will be asked to... 298 subjects involved.,Expedited
Surveying active drug users about illegal activities with identifiable data collection. Participants will be asked to... 319 subjects involved.,Full Board
Observation of public behavior in a city park without any identifiers recorded. Participants will be asked to... 176 subjects involved.,Exempt
Evaluation of a new math curriculum in a standard 4th-grade classroom environment. Data will be collected via... 365 subjects involved.,Exempt
Interviews with teachers about stress levels where names are linked to responses. Participants will be asked to... 218 subjects involved.,Expedited
Research involving intentional deception of participants regarding physical safety. Data will be collected via... 156 subjects involved.,Full Board
Research involving interviews with incarcerated individuals about prison conditions. Data will be collected via... 75 subjects involved.,Full Board
Secondary analysis of anonymized blood pressure data from a 2010 study. This study aims to... 104 subjects involved.,Exempt
Secondary analysis of anonymized blood pressure data from a 2010 study. This study aims to... 390 subjects involved.,Exempt
Interviews with teachers about stress levels where names are linked to responses. Participants will be asked to... 168 subjects involved.,Expedited
Research involving interviews with incarcerated individuals about prison conditions. Data will be collected via... 440 subjects involved.,Full Board
"Focus groups regarding sensitive personal experiences, but with minimal risk of harm. Participants will be asked to... 150 subjects involved.",Expedited
"Focus groups regarding sensitive personal experiences, but with minimal risk of harm. This study aims to... 458 subjects involved.",Expedited
"Focus groups regarding sensitive personal experiences, but with minimal risk of harm. The primary objective is... 453 subjects involved.",Expedited
Research involving intentional deception of participants regarding physical safety. This study aims to... 271 subjects involved.,Full Board
Research on individual or group behavior using recorded voice or video data. The primary objective is... 50 subjects involved.,Expedited
"Focus groups regarding sensitive personal experiences, but with minimal risk of harm. The primary objective is... 484 subjects involved.",Expedited
Evaluation of a new math curriculum in a standard 4th-grade classroom environment. Participants will be asked to... 64 subjects involved.,Exempt
Secondary analysis of anonymized blood pressure data from a 2010 study. The primary objective is... 480 subjects involved.,Exempt
Retrospective review of de-identified medical records for frequency of flu symptoms. This study aims to... 227 subjects involved.,Exempt
Observation of public behavior in a city park without any identifiers recorded. This study aims to... 305 subjects involved.,Exempt
Research involving intentional deception of participants regarding physical safety. The primary objective is... 484 subjects involved.,Full Board
Small blood draw via venipuncture from healthy non-pregnant adults. Data will be collected via... 418 subjects involved.,Expedited
Research involving interviews with incarcerated individuals about prison conditions. The primary objective is... 378 subjects involved.,Full Board
Anonymous survey regarding workplace satisfaction among corporate employees. Participants will be asked to... 31 subjects involved.,Exempt
Evaluating a high-risk surgical procedure for spinal cord injury reconstruction. The primary objective is... 55 subjects involved.,Full Board
Evaluating a high-risk surgical procedure for spinal cord injury reconstruction. Participants will be asked to... 97 subjects involved.,Full Board
Retrospective review of de-identified medical records for frequency of flu symptoms. Participants will be asked to... 255 subjects involved.,Exempt
Research involving interviews with incarcerated individuals about prison conditions. Data will be collected via... 89 subjects involved.,Full Board
Research on individual or group behavior using recorded voice or video data. Data will be collected via... 21 subjects involved.,Expedited
Clinical trial testing a new pharmaceutical drug for hypertension in elderly patients. Participants will be asked to... 268 subjects involved.,Full Board
Surveying active drug users about illegal activities with identifiable data collection. The primary objective is... 173 subjects involved.,Full Board
"Focus groups regarding sensitive personal experiences, but with minimal risk of harm. Data will be collected via... 384 subjects involved.",Expedited
"Focus groups regarding sensitive personal experiences, but with minimal risk of harm. The primary objective is... 373 subjects involved.",Expedited
Study using non-invasive heart rate monitors during light treadmill exercise. Participants will be asked to... 269 subjects involved.,Expedited
Secondary analysis of anonymized blood pressure data from a 2010 study. Participants will be asked to... 408 subjects involved.,Exempt
Research involving intentional deception of participants regarding physical safety. Participants will be asked to... 167 subjects involved.,Full Board
Research involving intentional deception of participants regarding physical safety. This study aims to... 77 subjects involved.,Full Board
Evaluation of a new math curriculum in a standard 4th-grade classroom environment. This study aims to... 499 subjects involved.,Exempt
Evaluation of a new math curriculum in a standard 4th-grade classroom environment. The primary objective is... 408 subjects involved.,Exempt
Study using non-invasive heart rate monitors during light treadmill exercise. Data will be collected via... 218 subjects involved.,Expedited
Analysis of existing public datasets regarding census information. Data will be collected via... 171 subjects involved.,Exempt
"Focus groups regarding sensitive personal experiences, but with minimal risk of harm. Data will be collected via... 297 subjects involved.",Expedited
Analysis of existing public datasets regarding census information. The primary objective is... 36 subjects involved.,Exempt
Research involving intentional deception of participants regarding physical safety. This study aims to... 341 subjects involved.,Full Board
Interviews with teachers about stress levels where names are linked to responses. Data will be collected via... 300 subjects involved.,Expedited
Interviews with teachers about stress levels where names are linked to responses. Data will be collected via... 91 subjects involved.,Expedited
Small blood draw via venipuncture from healthy non-pregnant adults. The primary objective is... 208 subjects involved.,Expedited
Research involving interviews with incarcerated individuals about prison conditions. This study aims to... 77 subjects involved.,Full Board
Surveying active drug users about illegal activities with identifiable data collection. Participants will be asked to... 440 subjects involved.,Full Board
Interviews with teachers about stress levels where names are linked to responses. Participants will be asked to... 66 subjects involved.,Expedited
Collection of saliva samples from healthy adults to measure cortisol levels. The primary objective is... 220 subjects involved.,Expedited
Evaluation of a new math curriculum in a standard 4th-grade classroom environment. Data will be collected via... 441 subjects involved.,Exempt
Evaluating a high-risk surgical procedure for spinal cord injury reconstruction. Data will be collected via... 120 subjects involved.,Full Board
Research on individual or group behavior using recorded voice or video data. The primary objective is... 381 subjects involved.,Expedited
Research involving intentional deception of participants regarding physical safety. Participants will be asked to... 157 subjects involved.,Full Board
Small blood draw via venipuncture from healthy non-pregnant adults. Data will be collected via... 489 subjects involved.,Expedited
Research on individual or group behavior using recorded voice or video data. The primary objective is... 358 subjects involved.,Expedited
Interviews with teachers about stress levels where names are linked to responses. The primary objective is... 355 subjects involved.,Expedited
"Focus groups regarding sensitive personal experiences, but with minimal risk of harm. The primary objective is... 354 subjects involved.",Expedited
Surveying active drug users about illegal activities with identifiable data collection. Data will be collected via... 246 subjects involved.,Full Board
Research on individual or group behavior using recorded voice or video data. Participants will be asked to... 299 subjects involved.,Expedited
Analysis of existing public datasets regarding census information. Participants will be asked to... 84 subjects involved.,Exempt
Clinical trial testing a new pharmaceutical drug for hypertension in elderly patients. Data will be collected via... 145 subjects involved.,Full Board
Anonymous survey regarding workplace satisfaction among corporate employees. The primary objective is... 55 subjects involved.,Exempt
Study on the psychological impact of past trauma in children under 10. The primary objective is... 288 subjects involved.,Full Board
Clinical trial testing a new pharmaceutical drug for hypertension in elderly patients. This study aims to... 33 subjects involved.,Full Board
Small blood draw via venipuncture from healthy non-pregnant adults. This study aims to... 277 subjects involved.,Expedited
Analysis of existing public datasets regarding census information. Participants will be asked to... 363 subjects involved.,Exempt
Analysis of existing public datasets regarding census information. The primary objective is... 18 subjects involved.,Exempt
Interviews with teachers about stress levels where names are linked to responses. Data will be collected via... 440 subjects involved.,Expedited
Evaluating a high-risk surgical procedure for spinal cord injury reconstruction. Data will be collected via... 98 subjects involved.,Full Board
"Focus groups regarding sensitive personal experiences, but with minimal risk of harm. The primary objective is... 151 subjects involved.",Expedited
Research involving intentional deception of participants regarding physical safety. This study aims to... 394 subjects involved.,Full Board
Surveying active drug users about illegal activities with identifiable data collection. Participants will be asked to... 164 subjects involved.,Full Board
Study on the psychological impact of past trauma in children under 10. The primary objective is... 384 subjects involved.,Full Board
Analysis of existing public datasets regarding census information. The primary objective is... 371 subjects involved.,Exempt
Anonymous survey regarding workplace satisfaction among corporate employees. This study aims to... 34 subjects involved.,Exempt
Anonymous survey regarding workplace satisfaction among corporate employees. The primary objective is... 315 subjects involved.,Exempt
Observation of public behavior in a city park without any identifiers recorded. Data will be collected via... 205 subjects involved.,Exempt
Secondary analysis of anonymized blood pressure data from a 2010 study. This study aims to... 408 subjects involved.,Exempt
Research on individual or group behavior using recorded voice or video data. This study aims to... 85 subjects involved.,Expedited
Evaluation of a new math curriculum in a standard 4th-grade classroom environment. The primary objective is... 238 subjects involved.,Exempt
"Focus groups regarding sensitive personal experiences, but with minimal risk of harm. This study aims to... 282 subjects involved.",Expedited
Collection of saliva samples from healthy adults to measure cortisol levels. Data will be collected via... 227 subjects involved.,Expedited
Evaluating a high-risk surgical procedure for spinal cord injury reconstruction. Participants will be asked to... 318 subjects involved.,Full Board
Analysis of existing public datasets regarding census information. This study aims to... 306 subjects involved.,Exempt
Anonymous survey regarding workplace satisfaction among corporate employees. Participants will be asked to... 457 subjects involved.,Exempt
Study on the psychological impact of past trauma in children under 10. This study aims to... 257 subjects involved.,Full Board
Research involving intentional deception of participants regarding physical safety. The primary objective is... 112 subjects involved.,Full Board
"Focus groups regarding sensitive personal experiences, but with minimal risk of harm. Participants will be asked to... 13 subjects involved.",Expedited
Research involving intentional deception of participants regarding physical safety. Data will be collected via... 341 subjects involved.,Full Board
Study using non-invasive heart rate monitors during light treadmill exercise. Participants will be asked to... 45 subjects involved.,Expedited
Small blood draw via venipuncture from healthy non-pregnant adults. Participants will be asked to... 27 subjects involved.,Expedited
Small blood draw via venipuncture from healthy non-pregnant adults. Data will be collected via... 385 subjects involved.,Expedited
Evaluation of a new math curriculum in a standard 4th-grade classroom environment. Data will be collected via... 384 subjects involved.,Exempt
Research involving interviews with incarcerated individuals about prison conditions. Participants will be asked to... 355 subjects involved.,Full Board
Anonymous survey regarding workplace satisfaction among corporate employees. Participants will be asked to... 70 subjects involved.,Exempt
"Focus groups regarding sensitive personal experiences, but with minimal risk of harm. This study aims to... 274 subjects involved.",Expedited
Collection of saliva samples from healthy adults to measure cortisol levels. The primary objective is... 161 subjects involved.,Expedited
